frequency1,frequency2,frequency3,aux1,aux2,aux3,dual1,dual2,dual3,max_freq,capacity,request1,anomaly
1.932433041,2.333266385,1.649084863,2.452954643,2.614048789,1.450388869,0.479478397,0.719217596,1.198695994,10,20,2,0
2.128282082,3.298276138,1.714643207,1.984881629,3.083175458,1.356142074,0.622878851,0.934318276,1.557197127,10,20,2,0
2.08922875,3.382950845,1.691157713,1.942749877,3.163232534,1.324960529,0.769357724,1.154036586,1.92339431,10,20,2,0
2.077075458,3.336397502,1.670321563,1.944709603,3.13784872,1.339406926,0.901723579,1.352585368,2.254308947,10,20,2,0
2.068626243,3.261754127,1.653638833,1.953325768,3.088803414,1.365387645,1.017024054,1.525536081,2.542560135,10,20,2,0
2.061693962,3.187756354,1.639754323,1.962460878,3.038906728,1.391671612,1.116257138,1.674385708,2.790642846,10,20,2,0
2.055822759,3.121508577,1.627947793,1.970774853,2.993936718,1.415328028,1.201305044,1.801957567,3.003262611,10,20,2,0
2.050808572,3.063996092,1.61785398,1.978025661,2.954821725,1.435896701,1.274087956,1.911131934,3.18521989,10,20,2,0
2.046515203,3.014566593,1.609222066,1.984260439,2.921184447,1.453585156,1.33634272,2.00451408,3.3408568,10,20,2,0
2.04284244,2.972227344,1.601783042,1.989617065,2.892389282,1.468719605,1.389568095,2.084352142,3.473920237,10,20,2,0
2.039711089,2.936020945,1.595444815,1.994200085,2.867754438,1.481667303,1.435079099,2.152618649,3.587697749,10,20,2,0
2.037022172,2.905055348,1.589999522,1.998116488,2.846696822,1.492735312,1.473984784,2.210977175,3.684961959,10,20,2,0
2.034721416,2.878584437,1.585346852,2.001461921,2.828695195,1.502198115,1.507244279,2.260866418,3.768110696,10,20,2,0
2.032751683,2.855953151,1.581378027,2.004317317,2.813301602,1.510292112,1.535678645,2.303517967,3.839196611,10,20,2,0
2.031065226,2.836603131,1.577972273,2.006759899,2.800145141,1.517208956,1.559983971,2.339975957,3.899959928,10,20,2,0
2.029624457,2.820065713,1.57505292,2.008850212,2.788904346,1.523117308,1.580758216,2.371137324,3.951895541,10,20,2,0
2.028411156,2.805949616,1.572657384,2.010623889,2.779268715,1.528189215,1.598545484,2.397818225,3.996363709,10,20,2,0
2.027397474,2.793815968,1.570370736,2.012234499,2.771071505,1.532463297,1.613708459,2.420562688,4.034271147,10,20,2,0
2.026448994,2.783483675,1.568563346,2.013492902,2.764049538,1.536173116,1.626664551,2.439996826,4.066661377,10,20,2,0
2.025669389,2.774672312,1.567010388,2.014595302,2.758061182,1.53932517,1.637738638,2.456607956,4.094346594,10,20,2,0
2.025027719,2.767121822,1.565675065,2.01556476,2.752927383,1.542017666,1.647201597,2.470802396,4.118003993,10,20,2,0
2.02447453,2.76070102,1.56451314,2.016389382,2.748573297,1.544300269,1.655286746,2.482930119,4.138216865,10,20,2,0
2.023989211,2.755219124,1.563539446,2.017076947,2.744850727,1.546258785,1.66219901,2.493298515,4.155497525,10,20,2,0
2.023583222,2.750533404,1.562707589,2.017672454,2.741667251,1.547930668,1.668109778,2.502164668,4.170274446,10,20,2,0
2.023238724,2.746524964,1.561995904,2.018184416,2.738943501,1.549360133,1.673164087,2.50974613,4.182910217,10,20,2,0
2.022942287,2.743095165,1.561386918,2.01862099,2.736613218,1.550583673,1.677485385,2.516228077,4.193713462,10,20,2,0
2.022687438,2.740161238,1.560865851,2.018993341,2.734620092,1.551630608,1.681179482,2.521769222,4.202948704,10,20,2,0
2.022468612,2.737652077,1.560420172,2.019311017,2.732915683,1.552526183,1.684337077,2.526505615,4.210842692,10,20,2,0
2.022280784,2.735506502,1.560039156,2.019582002,2.731458329,1.553292201,1.687035859,2.530553788,4.217589647,10,20,2,0
2.022119185,2.733671816,1.559713945,2.019812683,2.730212063,1.553947689,1.689342361,2.534013542,4.223355903,10,20,2,0
2.021980616,2.73210322,1.559436021,2.020009511,2.729146562,1.554508258,1.691313466,2.536970199,4.228283666,10,20,2,0
2.021861881,2.730762304,1.559198522,2.020177498,2.728235729,1.554987564,1.69299785,2.539496774,4.232494624,10,20,2,0
2.021760182,2.729616128,1.558995587,2.020320883,2.72745718,1.555397339,1.694437149,2.541655723,4.236092872,10,20,2,0
2.021673102,2.728636486,1.558822203,2.020443277,2.726791748,1.55574764,1.695666974,2.543500461,4.239167434,10,20,2,0
2.021598562,2.727799233,1.558674078,2.020547761,2.726223032,1.556047077,1.696717774,2.545076661,4.241794435,10,20,2,0
2.021534769,2.727083712,1.558547541,2.02063696,2.725736998,1.556303018,1.697615584,2.546423376,4.244038959,10,20,2,0
2.021480187,2.726472255,1.558439454,2.020713113,2.725321644,1.556521768,1.698382658,2.547573987,4.245956645,10,20,2,0
2.021433493,2.725949749,1.558347129,2.020778131,2.724966706,1.556708724,1.69903802,2.54855703,4.247595049,10,20,2,0
2.021393554,2.725503272,1.558268271,2.020833645,2.724663408,1.556868497,1.699597929,2.549396894,4.248994823,10,20,2,0
2.021359398,2.725121773,1.558200917,2.020881046,2.724404244,1.557005035,1.700076282,2.550114422,4.250190704,10,20,2,0
2.021330192,2.724795805,1.558143389,2.020921521,2.724182799,1.557121712,1.700484952,2.550727428,4.251212381,10,20,2,0
2.02130522,2.724517292,1.558094255,2.020956083,2.723993588,1.557221414,1.700834088,2.551251133,4.252085221,10,20,2,0
2.021283871,2.724279331,1.558052288,2.020985598,2.723831923,1.557306607,1.701132361,2.551698541,4.252830902,10,20,2,0
2.021265621,2.724076022,1.558016445,2.021010803,2.723693796,1.557379401,1.701387178,2.552080768,4.253467946,10,20,2,0
2.021250021,2.72390232,1.55798583,2.021032329,2.723575782,1.557441599,1.701604871,2.552407306,4.254012177,10,20,2,0
2.021236688,2.723753917,1.557959681,2.021050713,2.723474954,1.557494742,1.701790846,2.552686269,4.254477115,10,20,2,0
2.021225293,2.723627129,1.557937346,2.021066414,2.723388811,1.557540148,1.701949725,2.552924588,4.254874313,10,20,2,0
2.021215554,2.723518809,1.557918268,2.021079824,2.723315214,1.557578942,1.702085455,2.553128183,4.255213639,10,20,2,0
2.021207232,2.723426268,1.557901972,2.021091278,2.723252337,1.557612087,1.70220141,2.553302115,4.255503524,10,20,2,0
2.021200121,2.723347208,1.557888053,2.021101062,2.723198618,1.557640404,1.702300469,2.553450704,4.255751173,10,20,2,0
2.021194044,2.723279665,1.557876163,2.021109418,2.723152725,1.557664598,1.702385095,2.553577643,4.255962738,10,20,2,0
2.021188851,2.723221961,1.557866006,2.021116556,2.723113518,1.557685267,1.702457391,2.553686087,4.256143478,10,20,2,0
